accounts-qml-module 0.7-4
kde-gtk-config 5.26.2-1
kdeclarative 5.99.0-1
kdecoration 5.26.2-1
kded 5.99.0-1
kdelibs4support 5.99.0-1
kdeplasma-addons 5.26.2-1
kdesu 5.99.0-1
kdnssd 5.99.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.99.0-1
keyutils 1.6.3-1
kfilemetadata 5.99.0-1
kgamma5 5.26.2-1
kglobalaccel 5.99.0-1
kguiaddons 5.99.0-2
kholidays 1:5.99.0-1
khotkeys 5.26.2-1
ki18n 5.99.0-1
kiconthemes 5.99.0-1
kidletime 5.99.0-1
kinfocenter 5.26.2-1
kio 5.99.0-1
kio-extras 22.08.2-1
kio-fuse 5.0.1-1
kirigami2 5.99.0-1
kitemmodels 5.99.0-1
kitemviews 5.99.0-1
kjobwidgets 5.99.0-1
kmenuedit 5.26.2-1
kmod 30-1
knewstuff 5.99.0-1
knotifications 5.99.0-1
knotifyconfig 5.99.0-1
konsole 22.08.2-1
kpackage 5.99.0-1
kparts 5.99.0-1
kpeople 5.99.0-1
kpipewire 5.26.2-1
kpty 5.99.0-1
kquickcharts 5.99.0-1
krb5 1.20-1
krunner 5.99.0-1
kscreen 5.26.2-1
kscreenlocker 5.26.2-1
kservice 5.99.0-1
ksshaskpass 5.26.2-1
ksystemstats 5.26.2-1
ktexteditor 5.99.0-1
ktextwidgets 5.99.0-1
kunitconversion 5.99.0-1
kuserfeedback 1.2.0-1
kwallet 5.99.0-1
kwallet-pam 5.26.2-1
kwayland 5.99.0-1
kwayland-integration 5.26.2-1
kwidgetsaddons 5.99.0-1
kwin 5.26.2.1-4
kwindowsystem 5.99.0-1
kwrited 5.26.2-1
kxmlgui 5.99.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.10.1-1
layer-shell-qt 5.26.2-1
lcms2 2.13.1-1
ldb 2:2.6.1-1
ldns 1.8.3-1
lensfun 1:0.3.3-1
less 1:608-1
lib32-attr 2.5.1-1
lib32-glibc 2.36-6
lib32-libogg 1.3.5-1
lib32-vulkan-icd-loader 1.3.226-1
libaccounts-glib 1.26-1
libaccounts-qt 1.16-3
libaio 0.3.113-1
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-2
libarchive 3.6.1-2
libass 0.16.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.10.1-2
libb2 0.98.1-2
libblockdev 2.28-1
libbluray 1.3.3-1
libbpf 1.0.1-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libbytesize 2.7-1
libcaca 0.99.beta20-1
libcacard 2.7.0-2
libcamera 0.0.1-3
libcanberra 1:0.30+r2+gc0620e4-1
libcap 2.66-1
libcap-ng 0.8.3-1
libcbor 0.9.0-1
libcddb 1.3.2-6
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-2
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libconfig 1.7.3-1
libcups 1:2.4.2-3
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libde265 1.0.9-1
libdmtx 0.7.7-1
libdrm 2.4.113-3
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libedit 20210910_3.1-1
libelf 0.187-2
libepoxy 1.5.10-1
libev 4.33-1
libevdev 1.13.0-1
libevent 2.1.12-2
libexif 0.6.24-1
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfontenc 1.1.6-1
libfreeaptx 0.1.1-1
libftdi 1.5-4
libgcrypt 1.10.1-1
libgexiv2 0.14.0-3
libglvnd 1.5.0-1
libgme 0.6.3-1
libgpg-error 1.46-1
libgtop 2.40.0+2+g31db82ef-2
libgudev 237-2
libgusb 0.4.2-1
libheif 1.13.0-2
libibus 1.5.27-1
libical 3.0.16-2
libice 1.0.10-4
libid3tag 0.15.1b-11
libidn 1.41-1
libidn2 2.3.4-1
libiec61883 1.2.0-6
libimagequant 4.0.4-1
libimobiledevice 1.3.0-5
libindicator-gtk3 12.10.1-10
libinih 56-1
libinput 1.21.0-1
libinstpatch 1.1.6-1
libisl 0.25-1
libjcat 0.1.11-1
libjpeg-turbo 2.1.4-2
libjxl 0.7.0-3
libkexiv2 22.08.2-1
libksba 1.6.2-1
libkscreen 5.26.2-1
libksysguard 5.26.2-1
libldac 2.0.2.3-1
libldap 2.6.3-1
liblouis 3.23.0-1
liblqr 0.4.2-3
libluv 1.44.2_1-1
libmad 0.15.1b-9
libmanette 0.2.6-3
libmbim 1.28.0-1
libmd 1.0.4-1
libmediainfo 22.09-1
libmfx 22.4.4-1
libmikmod 3.3.11.1-6
libmm-glib 1.20.0-1
libmms 0.6.4-3
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-3
libmpc 1.2.1-2
libmpcdec 1:0.1+r475-3
libmpdclient 2.20-2
libmspack 1:0.10.1alpha-4
libmtp 1.1.20-1
libmypaint 1.6.1-1
libndp 1.8-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.21-8
libnfnetlink 1.0.2-1
libnfs 5.0.2-1
libnftnl 1.2.3-1
libnghttp2 1.50.0-1
libnl 3.7.0-1
libnm 1.40.2-1
libnma 1.10.2-2
libnma-common 1.10.2-2
libnotify 0.8.1-1
libnsl 2.0.0-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libopenmpt 0.6.6-2
libotr 4.1.1-3
libp11-kit 0.24.1-1
libpaper 1.1.28-2
libpcap 1.10.1-2
libpciaccess 0.17-1
libpgm 5.3.128-2
libpipeline 1.5.6-1
libplacebo 4.208.0-1
libplist 2.2.0-5
libpng 1.6.38-1
libproxy 0.4.18-1
libpsl 0.21.1-1
libpulse 16.1-1
libqaccessibilityclient 0.4.1-2
libqalculate 4.4.0-2
libqmi 1.32.0-1
libqrtr-glib 1.2.2-2
libraqm 0.9.0-1
libratbag 0.16-1
libraw 0.20.2-2
libraw1394 2.1.2-3
librsvg 2:2.55.1-1
libsamplerate 0.2.2-1
libsasl 2.1.28-1
libsbsms 2.3.0-3
libseccomp 2.5.4-1
libsecret 0.20.5-2
libshout 1:2.4.6-1
libsidplayfp 2.3.1-1
libsigc++ 2.10.8-1
libsigsegv 2.14-1
libslirp 4.7.0-1
libsm 1.2.3-3
libsmbios 2.4.3-5
libsndfile 1.1.0-3
libsodium 1.0.18-2
libsoup 2.74.3-1
libsoup3 3.2.1-1
libsoxr 0.1.3-2
libspiro 1:20220722-1
libssh 0.10.4-1
libssh2 1.10.0-1
libstemmer 2.2.0-2
libsynctex 2022.62885-2
libsysprof-capture 3.46.0-1
libtasn1 4.19.0-1
libteam 1.31-5
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.4.0-4
libtirpc 1.3.3-1
libtommath 1.2.0-3
libtool 2.4.7-5
libtorrent-rasterbar 1:2.0.8-1
libunistring 1.0-1
libunwind 1.6.2-1
libupnp 1.14.14-1
liburcu 0.13.2-1
liburing 2.2-1
libusb 1.0.26-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-3
libuv 1.44.2-1
libva 2.16.0-1
libvdpau 1.5-1
libverto 0.3.2-4
libvisual 0.4.0-8
libvorbis 1.3.7-3
libvpx 1.12.0-1
libvterm 0.3-1
libvterm01 0.1.4-2
libwacom 2.5.0-1
libwebp 1.2.4-1
libwmf 0.2.12-2
libwpe 1.14.0-1
libx11 1.8.1-3
libx86emu 3.5-2
libxau 1.0.10-1
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.28-2
libxcrypt-compat 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.2-1
libxdamage 1.1.5-4
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-4
libxext 1.3.5-1
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.6-1
libxft 2.3.6-1
libxi 1.8-1
libxinerama 1.1.5-1
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.1-1
libxml2 2.10.3-2
libxmlb 0.3.9-1
libxmu 1.1.4-1
libxnvctrl 520.56.06-1
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.11-1
libxres 1.2.1-1
libxshmfence 1.3.1-1
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.4-1
libxv 1.0.11-5
libxxf86vm 1.1.5-1
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
libzen 0.4.39-1
libzip 1.9.2-1
licenses 20220125-1
lilv 0.24.20-1
linux 6.0.6.arch1-1
linux-api-headers 5.18.15-1
linux-firmware 20220913.f09bebf-1
linux-firmware-qcom 20220913.f09bebf-1
linux-firmware-whence 20220913.f09bebf-1
linux-headers 6.0.6.arch1-1
llvm-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lua 5.4.4-2
lua-lpeg 1.0.2-4
luajit 2.1.0.beta3.r449.gdad04f17-1
lv2 1.18.10-1
lvm2 2.03.16-2
lz4 1:1.9.4-1
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.11.0-1
mathjax2 2.7.9-1
mbedtls 2.28.1-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mediainfo 22.09-1
mesa 22.2.1-1
mesa-utils 8.5.0-2
metis 5.1.0.p10-2
milou 5.26.2-1
minecraft-launcher 1:1.0.1221-1
minizip 1:1.2.13-1
mkinitcpio 32-2
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20220725-1
modemmanager 1.20.0-1
modemmanager-qt 5.99.0-1
mpd 0.23.10-2
mpfr 4.1.0.p13-3
mpg123 1.31.0-1
mpv 1:0.34.1-5
msgpack-c 4.0.0-1
msmtp 1.8.22-2
mtdev 1.1.6-2
mujs 1.3.1-1
multipath-tools 0.9.3-1
mupdf 1.20.3-1
musescore 3.6.2-7
mypaint-brushes1 1.3.1-1
ncurses 6.3-3
ndctl 74-1
neovim 0.8.0-3
nerd-fonts-complete 2.2.2-1
netpbm 10.73.37-2
nettle 3.8.1-1
network-manager-applet 1.28.0-1
networkmanager 1.40.2-1
networkmanager-qt 5.99.0-1
nm-connection-editor 1.28.0-1
node-gyp 9.3.0-1
nodejs-lts-gallium 16.16.0-2
nodejs-nopt 6.0.0-1
nordvpn-bin 3.14.0-1
noto-fonts 20220810-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20220920-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.84-1
ntp 4.2.8.p15-1
numactl 2.0.16-1
nvidia 520.56.06-8
nvidia-settings 520.56.06-1
nvidia-utils 520.56.06-2
obs-studio 28.0.3-2
obsidian-appimage 0.14.6-1
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
openal 1.22.2-1
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-4
openpmix 4.2.2-1
openssh 9.1p1-1
openssl 1.1.1.q-1
opus 1.3.1-3
opusfile 0.12-2
orc 0.4.32-2
os-prober 1.81-1
oxygen 5.26.2-1
oxygen-sounds 5.26.2-1
p11-kit 0.24.1-1
pacman 6.0.1-8
pacman-contrib 1.7.1-1
pacman-mirrorlist 20221016-1
pacmixer 0.6.3-4
pahole 1:1.24-1
pam 1.5.2-1
pambase 20221020-1
pandoc 2.19.2-27
pango 1:1.50.11-1
pangomm 2.46.3-1
parted 3.5-1
pass 1.7.4-3
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.8.0-2
pcre 8.45-3
pcre2 10.40-3
perl 5.36.0-1
perl-encode-locale 1.05-9
perl-error 0.17029-4
perl-file-listing 6.15-2
perl-file-which 1.27-2
perl-html-parser 3.79-1
perl-html-tagset 3.20-12
perl-http-cookies 6.10-3
perl-http-daemon 6.14-2
perl-http-date 6.05-5
perl-http-message 6.42-1
perl-http-negotiate 6.01-10
perl-io-html 1.004-3
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-2
perl-mailtools 2.21-6
perl-net-http 6.22-2
perl-parse-yapp 1.21-5
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.16-1
perl-www-robotrules 6.02-10
perl-xml-parser 2.46-4
perl-xml-writer 0.900-1
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-3
picom 9.1-3
pinentry 1.2.1-1
piper 0.7-1
pipewire 1:0.3.59-3
